"crop" "be" "pe" "fb" "gr" "ma" "or" "vb" "vo" "ps" "po" "sb" "sw" "so" "wb" "ww" "wo"
"be" 0 0.000656989247311827 0.00203118279569892 0.0134408602150538 0.00537634408602151 0 0.00894489247311829 0.0158731182795699 0.00475188172043011 0.00268817204301075 0.193548387096774 0.146559139784947 0.00935483870967744 0.0241935483870968 0.545096774193548 0.0274838709677419
"pe" 0.00314465408805031 0.00128092243186583 0.00396016771488469 0.00628930817610063 0.0010482180293501 0.00209643605870021 0.00539046121593292 0.00956561844863733 0.00286362683438155 0 0.0241090146750524 0.0216771488469602 0.00138364779874214 0.0345911949685535 0.840234800838574 0.0423647798742138
"fb" 0.00314465408805031 0.00128092243186583 0.00396016771488469 0.00628930817610063 0.0010482180293501 0.00209643605870021 0.00539046121593292 0.00956561844863733 0.00286362683438155 0 0.0241090146750524 0.0216771488469602 0.00138364779874214 0.0345911949685535 0.840234800838574 0.0423647798742138
"gr" 0.0255009107468124 0.00801311475409835 0.0247737704918033 0.586520947176685 0.0200364298724954 0.0182149362477231 0.0121220400728597 0.0215111111111111 0.00643970856102004 0.00182149362477231 0.0418943533697632 0.0410928961748634 0.00262295081967213 0.0437158469945355 0.138724954462659 0.00699453551912568
"ma" 0.00909090909090909 0.00222181818181818 0.00686909090909091 0.136363636363636 0.0818181818181818 0 0.01925 0.03416 0.0102263636363636 0.00909090909090909 0.0363636363636364 0.0256363636363637 0.00163636363636364 0.0272727272727273 0.5712 0.0288
"or" 0 0 0 0.0107181136120043 0 0 0.00259378349410504 0.00460278670953912 0.00137792068595927 0.00428724544480171 0.00535905680600214 0.00806002143622722 0.000514469453376206 0.0267952840300107 0.890778135048231 0.0449131832797428
"vb" 0.0171810712751469 0.0209952690982295 0.0649100872775049 0.101368320523367 0.0377983568053231 0.0566975352079847 0.00625537853827997 0.0111004535515659 0.00332310522678212 0.00687242851005875 0.0721604993556169 0.0823660556930541 0.00525740781019495 0.0601337494630141 0.431808428144012 0.0217718535198661
"vo" 0.0171810712751469 0.0209952690982295 0.0649100872775049 0.101368320523367 0.0377983568053231 0.0566975352079847 0.00625537853827997 0.0111004535515659 0.00332310522678212 0.00687242851005875 0.0721604993556169 0.0823660556930541 0.00525740781019495 0.0601337494630141 0.431808428144012 0.0217718535198661
"ps" 0.0171810712751469 0.0209952690982295 0.0649100872775049 0.101368320523367 0.0377983568053231 0.0566975352079847 0.00625537853827997 0.0111004535515659 0.00332310522678212 0.00687242851005875 0.0721604993556169 0.0823660556930541 0.00525740781019495 0.0601337494630141 0.431808428144012 0.0217718535198661
"po" 0.0246913580246914 0.00603456790123458 0.0186567901234568 0.037037037037037 0.0123456790123457 0.037037037037037 0.026141975308642 0.0463901234567901 0.0138876543209876 0.0123456790123457 0 0.0928395061728395 0.00592592592592592 0.0617283950617284 0.575901234567901 0.029037037037037
"sb" 0.0525657071339174 0.0299764705882352 0.0926768460575718 0.0400500625782228 0.0112640801001252 0.145181476846058 0.0113579474342929 0.0201551939924906 0.00603379224030038 0.0112640801001252 0.102628285356696 0.0494117647058824 0.00315394242803504 0.128911138923655 0.281191489361702 0.0141777221526909
"sw" 0.0143112701252236 0.0279813953488372 0.0865087656529518 0.0536672629695885 0.00894454382826476 0.0518783542039356 0.0156932021466905 0.0278483005366726 0.00833685152057245 0.0125223613595707 0.0912343470483005 0.0874418604651163 0.00558139534883721 0.0876565295169946 0.400214669051879 0.0201788908765653
"so" 0.0143112701252236 0.0279813953488372 0.0865087656529518 0.0536672629695885 0.00894454382826476 0.0518783542039356 0.0156932021466905 0.0278483005366726 0.00833685152057245 0.0125223613595707 0.0912343470483005 0.0874418604651163 0.00558139534883721 0.0876565295169946 0.400214669051879 0.0201788908765653
"wb" 0.0568561872909699 0.0253391304347825 0.0783397993311035 0.0289855072463768 0.0222965440356745 0.411371237458194 0.0128149386845039 0.0227406911928651 0.00680780379041249 0.0111482720178372 0.0635451505016722 0.0482051282051282 0.00307692307692308 0.100334448160535 0.102947603121516 0.00519063545150501
"ww" 0.0700998185117967 0.0255045372050817 0.0788511796733213 0.0163339382940109 0.0163339382940109 0.0905172413793103 0.0134505444646098 0.0238686025408349 0.00714546279491833 0.00975499092558984 0.0964156079854809 0.0878584392014519 0.00560798548094374 0.148366606170599 0.295016333938294 0.0148747731397459
"wo" 0.0700998185117967 0.0255045372050817 0.0788511796733213 0.0163339382940109 0.0163339382940109 0.0905172413793103 0.0134505444646098 0.0238686025408349 0.00714546279491833 0.00975499092558984 0.0964156079854809 0.0878584392014519 0.00560798548094374 0.148366606170599 0.295016333938294 0.0148747731397459
