"crop" "be" "pe" "fb" "gr" "ma" "or" "vb" "vo" "ps" "po" "sb" "sw" "so" "wb" "ww" "wo"
"be" 0.00878293601003764 0.00245319949811793 0.00758444165621077 0.0232120451693852 0.0495608531994981 0 0.0559833751568381 0.0993450439146801 0.0297405897114178 0.041405269761606 0.121706398996236 0.0908155583437892 0.00579673776662485 0.082810539523212 0.362524466750313 0.0182785445420326
"pe" 0.0349775784753363 0.00416466367713004 0.0128756950672646 0.0618834080717489 0.0170403587443946 0.00807174887892377 0.03852466367713 0.0683637668161435 0.0204658295964125 0.0152466367713004 0.0286995515695067 0.0151748878923766 0.00096860986547085 0.0807174887892377 0.564369506726457 0.0284556053811659
"fb" 0.0349775784753363 0.00416466367713004 0.0128756950672646 0.0618834080717489 0.0170403587443946 0.00807174887892377 0.03852466367713 0.0683637668161435 0.0204658295964125 0.0152466367713004 0.0286995515695067 0.0151748878923766 0.00096860986547085 0.0807174887892377 0.564369506726457 0.0284556053811659
"gr" 0.0915642221280203 0.00352250953793979 0.0108903772785078 0.488342518016109 0.052988554472234 0.0122933446375583 0.0343662568885122 0.0609844849512507 0.0182567189487071 0.0445103857566766 0.0313692242475625 0.0247053836371344 0.00157693938109369 0.0631623569309029 0.0585163204747774 0.00295040271301399
"ma" 0.0784103114930183 0.00288764769065522 0.00892760472610099 0.133190118152524 0.114930182599356 0 0.0581605800214823 0.103208592910849 0.0308972073039742 0.0558539205155747 0.0365198711063373 0.0302900107411386 0.00193340494092374 0.0655209452201933 0.265864661654135 0.0134049409237379
"or" 0.0138713745271122 0.000770491803278687 0.00238209331651954 0.0340479192938209 0.00252206809583859 0.00126103404791929 0.0127790037831021 0.0226769230769231 0.00678871374527112 0.0132408575031526 0.00504413619167718 0.00592686002522068 0.000378310214375788 0.0863808322824716 0.753916771752838 0.0380126103404792
"vb" 0.0973477194954402 0.00459974464463922 0.0142208144578126 0.142127670463343 0.0541902305191284 0.0295288082469502 0.0505259740889984 0.0896606376561135 0.0268414017722381 0.0551637077140828 0.0473758901544476 0.0384328796567998 0.00245316253128509 0.1252540657508 0.211607982791222 0.0106693100567003
"vo" 0.0973477194954402 0.00459974464463922 0.0142208144578126 0.142127670463343 0.0541902305191284 0.0295288082469502 0.0505259740889984 0.0896606376561135 0.0268414017722381 0.0551637077140828 0.0473758901544476 0.0384328796567998 0.00245316253128509 0.1252540657508 0.211607982791222 0.0106693100567003
"ps" 0.0973477194954402 0.00459974464463922 0.0142208144578126 0.142127670463343 0.0541902305191284 0.0295288082469502 0.0505259740889984 0.0896606376561135 0.0268414017722381 0.0551637077140828 0.0473758901544476 0.0384328796567998 0.00245316253128509 0.1252540657508 0.211607982791222 0.0106693100567003
"po" 0.0588942307692308 0.00264375 0.0081735576923077 0.0456730769230769 0.0528846153846154 0 0.049083533653846 0.0871009615384613 0.0260751201923076 0.0216346153846154 0.0492788461538462 0.029375 0.001875 0.0925480769230769 0.451971153846153 0.0227884615384615
"sb" 0.116883116883117 0.0161142857142857 0.0498197802197802 0.0749250749250749 0.01998001998002 0.120879120879121 0.0299175824175824 0.0530901098901099 0.0158934065934066 0.050949050949051 0.0929070929070929 0.0422577422577423 0.0026973026973027 0.150849150849151 0.155020979020979 0.00781618381618382
"sw" 0.0492813141683778 0.0195720739219713 0.0605100616016427 0.0944558521560575 0.0205338809034908 0.0965092402464066 0.0416170431211499 0.0738513347022587 0.0221086242299795 0.0472279260780287 0.0513347022587269 0.057905544147844 0.00369609856262834 0.119096509240246 0.230669404517454 0.0116303901437372
"so" 0.0492813141683778 0.0195720739219713 0.0605100616016427 0.0944558521560575 0.0205338809034908 0.0965092402464066 0.0416170431211499 0.0738513347022587 0.0221086242299795 0.0472279260780287 0.0513347022587269 0.057905544147844 0.00369609856262834 0.119096509240246 0.230669404517454 0.0116303901437372
"wb" 0.130252100840336 0.0115011764705882 0.0355576470588236 0.0663865546218487 0.0239495798319328 0.26890756302521 0.0386386554621849 0.0685660504201682 0.0205263865546219 0.061344537815126 0.0331932773109244 0.0252773109243697 0.00161344537815126 0.136134453781513 0.0744 0.00375126050420168
"ww" 0.14030115146147 0.0140708591674048 0.0435022143489814 0.0409211691762622 0.0317094774136404 0.122232063773251 0.0309198405668732 0.054868662533215 0.0164258458813108 0.0513728963684677 0.0370239149689991 0.0234791851195748 0.00149867139061116 0.159610274579274 0.220924712134632 0.0111390611160319
"wo" 0.14030115146147 0.0140708591674048 0.0435022143489814 0.0409211691762622 0.0317094774136404 0.122232063773251 0.0309198405668732 0.054868662533215 0.0164258458813108 0.0513728963684677 0.0370239149689991 0.0234791851195748 0.00149867139061116 0.159610274579274 0.220924712134632 0.0111390611160319
