"crop" "be" "pe" "fb" "gr" "ma" "or" "vb" "vo" "ps" "po" "sb" "sw" "so" "wb" "ww" "wo"
"be" 0.00704556129638328 0.0022959135744481 0.00709816815406294 0.00516674495068107 0.054485674025364 0 0.0191815406294035 0.0340385157350869 0.0101899953029591 0.0159699389384688 0.119774542038516 0.155415688116486 0.00992015030530764 0.0436824800375763 0.490979802724284 0.0247552841709723
"pe" 0.0177118238391575 0.00304183820009573 0.00940430828147437 0.0287218764959311 0.0143609382479655 0.0167544279559598 0.0167975107707037 0.0298079463858305 0.0089235040689325 0.0124461464815701 0.0153183341311632 0.0202489229296314 0.0012924844423169 0.0756342747726185 0.69451795117281 0.0350177118238391
"fb" 0.0177118238391575 0.00304183820009573 0.00940430828147437 0.0287218764959311 0.0143609382479655 0.0167544279559598 0.0167975107707037 0.0298079463858305 0.0089235040689325 0.0124461464815701 0.0153183341311632 0.0202489229296314 0.0012924844423169 0.0756342747726185 0.69451795117281 0.0350177118238391
"gr" 0.0388675623800384 0.00539462571976967 0.016678310940499 0.54510556621881 0.0575815738963532 0.0244721689059501 0.0274340211132438 0.0486829174664107 0.0145740403071017 0.0235124760076775 0.0350287907869482 0.0221017274472168 0.00141074856046065 0.0393474088291747 0.0950172744721689 0.00479078694817658
"ma" 0.0453020134228188 0.00225536912751678 0.00697281879194631 0.115771812080537 0.163590604026846 0 0.0431417785234901 0.076557046979866 0.0229186241610739 0.0167785234899329 0.0251677852348993 0.0354865771812081 0.00226510067114094 0.0511744966442953 0.373771812080537 0.0188456375838926
"or" 0.00352941176470588 0.000287529411764705 0.000888941176470585 0.00729411764705882 0.00305882352941176 0.000235294117647059 0.00505352941176471 0.00896771764705884 0.00268463529411765 0.00117647058823529 0.00258823529411765 0.00464470588235294 0.000296470588235294 0.0597647058823529 0.856352 0.0431774117647059
"vb" 0.053205167492869 0.00792157673067393 0.0244907666845222 0.110079656881798 0.0461723005254208 0.0770557598172586 0.028337441231142 0.0502860775301721 0.0150539729118827 0.033329673889211 0.0400567640319876 0.0488631365825315 0.00311892361165094 0.0932619315248566 0.35106604172743 0.0177008088265931
"vo" 0.053205167492869 0.00792157673067393 0.0244907666845222 0.110079656881798 0.0461723005254208 0.0770557598172586 0.028337441231142 0.0502860775301721 0.0150539729118827 0.033329673889211 0.0400567640319876 0.0488631365825315 0.00311892361165094 0.0932619315248566 0.35106604172743 0.0177008088265931
"ps" 0.053205167492869 0.00792157673067393 0.0244907666845222 0.110079656881798 0.0461723005254208 0.0770557598172586 0.028337441231142 0.0502860775301721 0.0150539729118827 0.033329673889211 0.0400567640319876 0.0488631365825315 0.00311892361165094 0.0932619315248566 0.35106604172743 0.0177008088265931
"po" 0.0391061452513966 0.00238938547486034 0.00738715083798883 0.0251396648044693 0.0405027932960894 0.00139664804469274 0.0274615921787709 0.048731843575419 0.014588687150838 0.00837988826815642 0.0279329608938547 0.0393854748603352 0.00251396648044693 0.0502793296089385 0.632893854748603 0.0319106145251397
"sb" 0.0739870816206694 0.0176519083969466 0.0545735760422783 0.0328831473869642 0.0140927774515561 0.213153258954786 0.0216705813270699 0.0384554315913095 0.0115122724603641 0.0211391661773341 0.0645918966529654 0.0574045801526717 0.00366412213740458 0.140927774515561 0.223046388725778 0.0112460364063418
"sw" 0.0592153960029608 0.0139295336787565 0.0430652849740932 0.0621761658031088 0.0222057735011103 0.125092524056255 0.0210473723168024 0.0373495188749075 0.0111811991117691 0.0229459659511473 0.0451517394522576 0.0702738712065137 0.00448556624722428 0.186528497409326 0.262134715025907 0.0132168763878609
"so" 0.0592153960029608 0.0139295336787565 0.0430652849740932 0.0621761658031088 0.0222057735011103 0.125092524056255 0.0210473723168024 0.0373495188749075 0.0111811991117691 0.0229459659511473 0.0451517394522576 0.0702738712065137 0.00448556624722428 0.186528497409326 0.262134715025907 0.0132168763878609
"wb" 0.0933577405857741 0.0116320083682008 0.0359621338912134 0.0345188284518828 0.020397489539749 0.467050209205021 0.0211212081589958 0.0374805439330544 0.0112204236401674 0.0169979079497908 0.0230125523012552 0.0201569037656904 0.00128661087866109 0.103294979079498 0.0975899581589958 0.00492050209205021
"ww" 0.121883448483028 0.0144077801141484 0.0445438570141183 0.0206518474016221 0.0276359267047161 0.134049264043256 0.021172273956143 0.0375711625112646 0.0112475518173626 0.0328927605887654 0.0395764493841995 0.034448783418444 0.00219885851607089 0.167918293781917 0.275891258636227 0.0139104836287173
"wo" 0.121883448483028 0.0144077801141484 0.0445438570141183 0.0206518474016221 0.0276359267047161 0.134049264043256 0.021172273956143 0.0375711625112646 0.0112475518173626 0.0328927605887654 0.0395764493841995 0.034448783418444 0.00219885851607089 0.167918293781917 0.275891258636227 0.0139104836287173
