"crop" "pe" "fb" "gr" "ma" "or" "vb" "vo" "ps" "po" "sb" "sw" "so" "wb" "ww" "wo"
"pe" 0 0 0.12 0.08 0 0.010976 0.019352 0.049672 0 0.16 0.03164 0.00836 0.12 0.3292 0.0708
"fb" 0 0 0.12 0.08 0 0.010976 0.019352 0.049672 0 0.16 0.03164 0.00836 0.12 0.3292 0.0708
"gr" 0 0 0.836 0.052 0.004 0.008232 0.014514 0.037254 0.008 0.008 0.006328 0.001672 0.012 0.009876 0.002124
"ma" 0 0 0.294117647058824 0.176470588235294 0 0.0403529411764706 0.0711470588235295 0.182617647058824 0 0 0.0465294117647059 0.0122941176470588 0.0588235294117647 0.0968235294117644 0.0208235294117646
"or" 0 0 0.111111111111111 0 0 0.010162962962963 0.0179185185185185 0.0459925925925926 0.037037037037037 0 0.0585925925925926 0.0154814814814815 0.185185185185185 0.42674074074074 0.0917777777777777
"vb" 0 0 0.249697814331758 0.0453996026057741 0.0453996026057741 0.0655685070086095 0.115605115491127 0.29673094753386 0 0.0453996026057741 0.0359110856611673 0.00948851694460679 0.0453996026057741 0.0373638729445521 0.00803572966122201
"vo" 0 0 0.249697814331758 0.0453996026057741 0.0453996026057741 0.0655685070086095 0.115605115491127 0.29673094753386 0 0.0453996026057741 0.0359110856611673 0.00948851694460679 0.0453996026057741 0.0373638729445521 0.00803572966122201
"ps" 0 0 0.249697814331758 0.0453996026057741 0.0453996026057741 0.0655685070086095 0.115605115491127 0.29673094753386 0 0.0453996026057741 0.0359110856611673 0.00948851694460679 0.0453996026057741 0.0373638729445521 0.00803572966122201
"po" 0 0 0 0 0 0.01715 0.0302375 0.0776125 0.125 0 0.098875 0.026125 0.375 0.20575 0.04425
"sb" 0 0 0.0769230769230769 0.153846153846154 0.153846153846154 0.0211076923076923 0.0372153846153847 0.095523076923077 0 0.230769230769231 0.121692307692308 0.0321538461538462 0.0769230769230769 0 0
"sw" 0 0 0.2 0 0.2 0.02744 0.04838 0.12418 0 0.2 0 0 0.2 0 0
"so" 0 0 0.2 0 0.2 0.02744 0.04838 0.12418 0 0.2 0 0 0.2 0 0
"wb" 0 0 0.172413793103448 0 0.206896551724138 0.0283862068965517 0.050048275862069 0.128462068965517 0.0689655172413793 0.0689655172413793 0.0272758620689656 0.00720689655172415 0.206896551724138 0.0283793103448276 0.00610344827586208
"ww" 0 0 0.0263157894736842 0.0526315789473684 0.328947368421053 0.00902631578947368 0.0159144736842105 0.0408486842105263 0 0.0263157894736842 0.0416315789473684 0.011 0.210526315789474 0.194921052631579 0.041921052631579
"wo" 0 0 0.0263157894736842 0.0526315789473684 0.328947368421053 0.00902631578947368 0.0159144736842105 0.0408486842105263 0 0.0263157894736842 0.0416315789473684 0.011 0.210526315789474 0.194921052631579 0.041921052631579
