"crop" "pe" "fb" "gr" "ma" "or" "vb" "vo" "ps" "po" "sb" "sw" "so" "wb" "ww" "wo"
"pe" 0.00659333333333333 0.02674 0.266666666666667 0.0333333333333333 0 0.0365866666666667 0.0645066666666668 0.165573333333334 0 0 0.105466666666666 0.0278666666666666 0 0.219466666666667 0.0472000000000001
"fb" 0.00659333333333333 0.02674 0.266666666666667 0.0333333333333333 0 0.0365866666666667 0.0645066666666668 0.165573333333334 0 0 0.105466666666666 0.0278666666666666 0 0.219466666666667 0.0472000000000001
"gr" 0.00221624649859944 0.00898823529411766 0.782913165266106 0.061624649859944 0.015406162464986 0.00557254901960784 0.0098250700280112 0.0252186274509804 0.00280112044817927 0.0350140056022409 0.0144019607843138 0.00380532212885155 0.00980392156862745 0.0184425770308123 0.00396638655462185
"ma" 0.00238313253012047 0.00966506024096382 0.168674698795181 0.289156626506024 0 0.0181831325301205 0.0320590361445784 0.0822879518072291 0 0.036144578313253 0.0190602409638554 0.00503614457831326 0.120481927710843 0.178481927710843 0.0383855421686747
"or" 0 0 0.0909090909090909 0.0151515151515152 0 0.0103939393939394 0.0183257575757576 0.0470378787878788 0.0151515151515152 0.0606060606060606 0.0359545454545455 0.00950000000000001 0.121212121212121 0.473848484848485 0.101909090909091
"vb" 0 0 0.27478706840337 0.0641169826274529 0.0824361205210109 0.03917795695915 0.0690754211983847 0.177300243993704 0.00915956894677899 0.045797844733895 0.0724521903690218 0.0191434990987681 0.100755258414569 0.0376916262159956 0.00810621851789941
"vo" 0 0 0.27478706840337 0.0641169826274529 0.0824361205210109 0.03917795695915 0.0690754211983847 0.177300243993704 0.00915956894677899 0.045797844733895 0.0724521903690218 0.0191434990987681 0.100755258414569 0.0376916262159956 0.00810621851789941
"ps" 0 0 0.27478706840337 0.0641169826274529 0.0824361205210109 0.03917795695915 0.0690754211983847 0.177300243993704 0.00915956894677899 0.045797844733895 0.0724521903690218 0.0191434990987681 0.100755258414569 0.0376916262159956 0.00810621851789941
"po" 0 0 0 0 0 0.0686 0.12095 0.31045 0 0.25 0 0 0.25 0 0
"sb" 0.0134101694915254 0.0543864406779661 0.423728813559322 0.0677966101694915 0.11864406779661 0.0139525423728813 0.0245999999999999 0.0631423728813558 0 0.0169491525423729 0.0268135593220339 0.00708474576271187 0.152542372881356 0.0139491525423729 0.003
"sw" 0.0152153846153846 0.0617076923076923 0.538461538461538 0 0.0769230769230769 0.0211076923076923 0.0372153846153847 0.095523076923077 0 0 0 0 0.0769230769230769 0.0633076923076923 0.0136153846153846
"so" 0.0152153846153846 0.0617076923076923 0.538461538461538 0 0.0769230769230769 0.0211076923076923 0.0372153846153847 0.095523076923077 0 0 0 0 0.0769230769230769 0.0633076923076923 0.0136153846153846
"wb" 0 0 0.12987012987013 0.0779220779220779 0.324675324675325 0.0196 0.0345571428571429 0.0887000000000001 0 0.025974025974026 0.0616363636363636 0.0162857142857143 0.168831168831169 0.0427532467532468 0.0091948051948052
"ww" 0.0023270588235294 0.0094376470588235 0.129411764705882 0.223529411764706 0.129411764705882 0.00807058823529412 0.0142294117647059 0.0365235294117647 0 0.0117647058823529 0.0186117647058824 0.00491764705882353 0.305882352941176 0.0871411764705878 0.0187411764705882
"wo" 0.0023270588235294 0.0094376470588235 0.129411764705882 0.223529411764706 0.129411764705882 0.00807058823529412 0.0142294117647059 0.0365235294117647 0 0.0117647058823529 0.0186117647058824 0.00491764705882353 0.305882352941176 0.0871411764705878 0.0187411764705882
