"crop" "pe" "fb" "gr" "ma" "or" "vb" "vo" "ps" "po" "sb" "sw" "so" "wb" "ww" "wo"
"pe" 0 0 0.190954773869347 0.085427135678392 0.0251256281407035 0.0124100502512563 0.0218804020100503 0.0561618090452261 0.0050251256281407 0.085427135678392 0.0278241206030151 0.00735175879396984 0.0904522613065327 0.322582914572864 0.0693768844221106
"fb" 0 0 0.190954773869347 0.085427135678392 0.0251256281407035 0.0124100502512563 0.0218804020100503 0.0561618090452261 0.0050251256281407 0.085427135678392 0.0278241206030151 0.00735175879396984 0.0904522613065327 0.322582914572864 0.0693768844221106
"gr" 0.0010526366715046 0.00426908563134978 0.802128688921142 0.06192549588776 0.00870827285921625 0.00477910014513788 0.00842612481857764 0.0216278664731495 0.00258022899532333 0.0182228672794711 0.0145418480890179 0.00384228350266087 0.012739880664409 0.0289330753104338 0.00622254475084663
"ma" 0.000233530106257379 0.000947107438016531 0.141676505312869 0.296340023612751 0.00354191263282172 0.012796694214876 0.0225621015348288 0.0579115702479339 0.00826446280991736 0.025974025974026 0.0289504132231405 0.00764935064935064 0.0779220779220779 0.259434474616292 0.0557957497048405
"or" 0 0 0.0340501792114695 0.0161290322580645 0.00716845878136201 0.00639283154121863 0.0112713261648745 0.0289308243727598 0.00537634408602151 0.021505376344086 0.00992293906810035 0.00262186379928315 0.17921146953405 0.557516129032258 0.119903225806452
"vb" 0.00156301261044644 0.00633897227553154 0.349945044950454 0.100468093550292 0.0462830543321568 0.0228993690213056 0.040374324826923 0.103631328172949 0.00903083986968913 0.0587004591529793 0.0741127162455875 0.0195822474024372 0.0598293141366905 0.0882595269014552 0.0189816965511028
"vo" 0.00156301261044644 0.00633897227553154 0.349945044950454 0.100468093550292 0.0462830543321568 0.0228993690213056 0.040374324826923 0.103631328172949 0.00903083986968913 0.0587004591529793 0.0741127162455875 0.0195822474024372 0.0598293141366905 0.0882595269014552 0.0189816965511028
"ps" 0.00156301261044644 0.00633897227553154 0.349945044950454 0.100468093550292 0.0462830543321568 0.0228993690213056 0.040374324826923 0.103631328172949 0.00903083986968913 0.0587004591529793 0.0741127162455875 0.0195822474024372 0.0598293141366905 0.0882595269014552 0.0189816965511028
"po" 0 0 0.142857142857143 0.0714285714285714 0 0.01176 0.0207342857142857 0.05322 0 0.0428571428571429 0.0113 0.00298571428571429 0.157142857142857 0.399742857142857 0.0859714285714286
"sb" 0.00171701388888889 0.00696354166666667 0.305555555555556 0.0729166666666667 0.0538194444444444 0.0233430555555556 0.0411565972222223 0.105639236111111 0.00868055555555556 0.100694444444444 0.0563038194444445 0.0148767361111111 0.119791666666667 0.0728697916666667 0.015671875
"sw" 0.000871365638766521 0.00353392070484582 0.255506607929515 0.092511013215859 0.118942731277533 0.0205497797356828 0.0362317180616739 0.0929982378854623 0 0.0572687224669604 0.0627224669603524 0.0165726872246696 0.101321585903084 0.116017621145375 0.0249515418502203
"so" 0.000871365638766521 0.00353392070484582 0.255506607929515 0.092511013215859 0.118942731277533 0.0205497797356828 0.0362317180616739 0.0929982378854623 0 0.0572687224669604 0.0627224669603524 0.0165726872246696 0.101321585903084 0.116017621145375 0.0249515418502203
"wb" 0.00275146831530138 0.011158887171561 0.187017001545595 0.105100463678516 0.205564142194745 0.0146318392581144 0.0257976816074188 0.0662165378670788 0.0108191653786708 0.044822256568779 0.0513477588871715 0.0135672333848532 0.146831530139104 0.0941298299845439 0.0202442040185471
"ww" 0.0032694214876033 0.0132595041322314 0.123331214240305 0.142403051493961 0.148760330578512 0.0108155117609663 0.0190690400508582 0.0489457088366179 0.0133502860775588 0.0394151303242212 0.0367088366179275 0.00969930069930069 0.186268277177368 0.168471710108073 0.0362326764144945
"wo" 0.0032694214876033 0.0132595041322314 0.123331214240305 0.142403051493961 0.148760330578512 0.0108155117609663 0.0190690400508582 0.0489457088366179 0.0133502860775588 0.0394151303242212 0.0367088366179275 0.00969930069930069 0.186268277177368 0.168471710108073 0.0362326764144945
